author,name,url,description,language,spoken_language,stars
Cysharp,MemoryPack,https://github.com/Cysharp/MemoryPack,Zero encoding extreme performance binary serializer for C# and Unity.,C#,English,2881
radzenhq,radzen-blazor,https://github.com/radzenhq/radzen-blazor,"Radzen Blazor is a set of 70+ free native Blazor UI components packed with DataGrid, Scheduler, Charts and robust theming including Material design and FluentUI.",C#,English,3247
dotnet,MQTTnet,https://github.com/dotnet/MQTTnet,MQTTnet is a high performance .NET library for MQTT based communication. It provides a MQTT client and a MQTT server (broker). The implementation is based on the documentation from http://mqtt.org/.,C#,English,4236
SeguraChain,SeguraChain,https://github.com/SeguraChain/SeguraChain,"SeguraChain (Secured Chain translated from Spanish) is a technology developed mainly in C#, it allows to easily create and understand a decentralized blockchain process, it can be configured to support a sovereign update system, allowing to include updates on it without editing the content of the Blockchain.",C#,English,5
Unity-Technologies,UnityCsReference,https://github.com/Unity-Technologies/UnityCsReference,Unity C# reference source code.,C#,English,11460
oskardudycz,EventSourcing.NetCore,https://github.com/oskardudycz/EventSourcing.NetCore,Examples and Tutorials of Event Sourcing in .NET,C#,English,3282
beeradmoore,dlss-swapper,https://github.com/beeradmoore/dlss-swapper,,C#,English,1514
bitwarden,server,https://github.com/bitwarden/server,"The core infrastructure backend (API, database, Docker, etc).",C#,English,14487
MirrorNetworking,Mirror,https://github.com/MirrorNetworking/Mirror,#1 Open Source Unity Networking Library,C#,English,4909
space-wizards,RobustToolbox,https://github.com/space-wizards/RobustToolbox,"Robust multiplayer game engine, used by Space Station 14",C#,English,485
ClosedXML,ClosedXML,https://github.com/ClosedXML/ClosedXML,"ClosedXML is a .NET library for reading, manipulating and writing Excel 2007+ (.xlsx, .xlsm) files. It aims to provide an intuitive and user-friendly interface to dealing with the underlying OpenXML API.",C#,English,4467
PowerShell,PowerShell,https://github.com/PowerShell/PowerShell,PowerShell for every system!,C#,English,43619
danielpalme,ReportGenerator,https://github.com/danielpalme/ReportGenerator,"ReportGenerator converts coverage reports generated by coverlet, OpenCover, dotCover, Visual Studio, NCover, Cobertura, JaCoCo, Clover, gcov or lcov into human readable reports in various formats.",C#,English,2476
Aircoookie,WLED,https://github.com/Aircoookie/WLED,Control WS2812B and many more types of digital RGB LEDs with an ESP8266 or ESP32 over WiFi!,C++,English,14033
BlackINT3,OpenArk,https://github.com/BlackINT3/OpenArk,The Next Generation of Anti-Rookit(ARK) tool for Windows.,C++,English,7575
PointCloudLibrary,pcl,https://github.com/PointCloudLibrary/pcl,Point Cloud Library (PCL),C++,English,9539
microsoft,onnxruntime,https://github.com/microsoft/onnxruntime,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",C++,English,13020
finos,perspective,https://github.com/finos/perspective,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",C++,English,7620
nlohmann,json,https://github.com/nlohmann/json,JSON for Modern C++,C++,English,40662
zerotier,ZeroTierOne,https://github.com/zerotier/ZeroTierOne,A Smart Ethernet Switch for Earth,C++,English,13573
WebAssembly,wabt,https://github.com/WebAssembly/wabt,The WebAssembly Binary Toolkit,C++,English,6477
Lymphatus,caesium-image-compressor,https://github.com/Lymphatus/caesium-image-compressor,"Caesium is an image compression software that helps you store, send and share digital pictures, supporting JPG, PNG and WebP formats. You can quickly reduce the file size (and resolution, if you want) by preserving the overall quality of the image.",C++,English,2672
google,flatbuffers,https://github.com/google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library,C++,English,22174
hrydgard,ppsspp,https://github.com/hrydgard/ppsspp,"A PSP emulator for Android, Windows, Mac and Linux, written in C++. Want to contribute? Join us on Discord at https://discord.gg/5NJB6dD or just send pull requests / issues. For discussion use the forums at forums.ppsspp.org.",C++,English,10616
async-profiler,async-profiler,https://github.com/async-profiler/async-profiler,Sampling CPU and HEAP profiler for Java featuring AsyncGetCallTrace + perf_events,C++,English,7195
exaloop,codon,https://github.com/exaloop/codon,"A high-performance, zero-overhead, extensible Python compiler using LLVM",C++,English,13913
cocos,cocos-engine,https://github.com/cocos/cocos-engine,"Cocos simplifies game creation and distribution with Cocos Creator, a free, open-source, cross-platform game engine. Empowering millions of developers to create high-performance, engaging 2D/3D games and instant web entertainment.",C++,English,5398
TixiaoShan,LIO-SAM,https://github.com/TixiaoShan/LIO-SAM,LIO-SAM: Tightly-coupled Lidar Inertial Odometry via Smoothing and Mapping,C++,English,3124
tnodir,fort,https://github.com/tnodir/fort,Fort Firewall for Windows,C++,English,964
google,lyra,https://github.com/google/lyra,A Very Low-Bitrate Codec for Speech Compression,C++,English,3773
MAZHARMIK,Interview_DS_Algo,https://github.com/MAZHARMIK/Interview_DS_Algo,Super Repository for Coding Interview Preperation,C++,English,1178
ClickHouse,ClickHouse,https://github.com/ClickHouse/ClickHouse,ClickHouse® is a real-time analytics DBMS,C++,English,34776
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,Marlin is an optimized firmware for RepRap 3D printers based on the Arduino platform. Many commercial 3D printers come with Marlin installed. Check with your vendor if you need source code for your specific machine.,C++,English,15966
ChefKissInc,NootedRed,https://github.com/ChefKissInc/NootedRed,The AMD Vega iGPU support patch kext. No commercial use.,C++,English,1507
intel,pcm,https://github.com/intel/pcm,Intel® Performance Counter Monitor (Intel® PCM),C++,English,2599
cdcseacave,openMVS,https://github.com/cdcseacave/openMVS,open Multi-View Stereo reconstruction library,C++,English,3138
AlibabaResearch,AdvancedLiterateMachinery,https://github.com/AlibabaResearch/AdvancedLiterateMachinery,"A collection of original, innovative ideas and algorithms towards Advanced Literate Machinery. This project is maintained by the OCR Team in the Language Technology Lab, Tongyi Lab, Alibaba Group.",C++,English,1037
electron,electron,https://github.com/electron/electron,"Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,English,112242
khoj-ai,khoj,https://github.com/khoj-ai/khoj,"Your AI second brain. Get answers to your questions, whether they be online or in your own notes. Use foundation models or private, local LLMs. Self-host locally or use our cloud instance. Access from Obsidian, Emacs, Desktop app, Web or Whatsapp.",Python,English,8378
pydantic,pydantic,https://github.com/pydantic/pydantic,Data validation using Python type hints,Python,English,19113
openai,whisper,https://github.com/openai/whisper,Robust Speech Recognition via Large-Scale Weak Supervision,Python,English,61950
dortania,OpenCore-Legacy-Patcher,https://github.com/dortania/OpenCore-Legacy-Patcher,Experience macOS just like before,Python,English,11127
mikel-brostrom,yolo_tracking,https://github.com/mikel-brostrom/yolo_tracking,"BoxMOT: pluggable SOTA tracking modules for segmentation, object detection and pose estimation models",Python,English,6233
yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,Python,English,72935
ccxt,ccxt,https://github.com/ccxt/ccxt,A JavaScript / TypeScript / Python / C# / PHP cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges,Python,English,31585
langchain-ai,langchain,https://github.com/langchain-ai/langchain,🦜🔗 Build context-aware reasoning applications,Python,English,85834
apache,airflow,https://github.com/apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",Python,English,34818
Giskard-AI,giskard,https://github.com/Giskard-AI/giskard,🐢 Open-Source Evaluation & Testing for LLMs and ML models,Python,English,3296
huggingface,transformers,https://github.com/huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",Python,English,126658
ultralytics,yolov5,https://github.com/ultralytics/yolov5,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,Python,English,47612
goauthentik,authentik,https://github.com/goauthentik/authentik,The authentication glue you need.,Python,English,7120
obss,sahi,https://github.com/obss/sahi,Framework agnostic sliced/tiled inference + interactive ui + error analysis plots,Python,English,3658
ranaroussi,yfinance,https://github.com/ranaroussi/yfinance,Download market data from Yahoo! Finance's API,Python,English,12064
huggingface,diffusers,https://github.com/huggingface/diffusers,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch and FLAX.,Python,English,23024
AUTOMATIC1111,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,Python,English,132192
nerfstudio-project,nerfstudio,https://github.com/nerfstudio-project/nerfstudio,A collaboration friendly studio for NeRFs,Python,English,8674
dmlc,dgl,https://github.com/dmlc/dgl,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",Python,English,13081
DeepLabCut,DeepLabCut,https://github.com/DeepLabCut/DeepLabCut,Official implementation of DeepLabCut: Markerless pose estimation of user-defined features with deep learning for all animals incl. humans,Python,English,4334
lazyprogrammer,machine_learning_examples,https://github.com/lazyprogrammer/machine_learning_examples,A collection of machine learning examples and tutorials.,Python,English,8130
run-llama,llama_index,https://github.com/run-llama/llama_index,LlamaIndex is a data framework for your LLM applications,Python,English,32030
facebookresearch,pytorch3d,https://github.com/facebookresearch/pytorch3d,PyTorch3D is FAIR's library of reusable components for deep learning with 3D data,Python,English,8389
vwxyzjn,cleanrl,https://github.com/vwxyzjn/cleanrl,"High-quality single file implementation of Deep Reinforcement Learning algorithms with research-friendly features (PPO, DQN, C51, DDPG, TD3, SAC, PPG)",Python,English,4608
RobertCraigie,prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use,Python,English,1719
